# This file defines colors for blocks!
# You can use your own color map using the -color-map <file> argument.
#
# The format is block ID, optionally colon and metadata, tab, color, optionally followed by another tab, a pound, and a comment.
# Tabs are important; don't use spaces or commas!
#
# Empty lines and lines starting with # are ignored, too.
#
# 'default' must appear before other block ID -> color mappings
# Any block with an ID not specifically mapped to a color after the default
# mapping will be colored with the default color.

light_blue_wool	        0xFF6A8AC9	    # Light Blue Wool
light_blue_bed	        0xFF6A8AC9	    # Light Blue Bed
yellow_wool	            0xFFB1A627	    # Yellow Wool
yellow_bed	            0xFFB1A627	    # Yellow Bed
lime_wool	            0xFF41AE38	    # Lime Wool
lime_bed	            0xFF41AE38	    # Lime Bed
pink_wool	            0xFFD08499	    # Pink Wool
pink_bed	            0xFFD08499	    # Pink Bed
gray_wool	            0xFF404040	    # Gray Wool
gray_bed	            0xFF404040	    # Gray Bed
light_gray_wool	        0xFF9AA1A1	    # Light Gray Wool
light_gray_bed	        0xFF9AA1A1	    # Light Gray Bed
cyan_wool	            0xFF2E6E89	    # Cyan Wool
cyan_bed	            0xFF2E6E89	    # Cyan Bed
purple_wool	            0xFF7E3DB5	    # Purple Wool
purple_bed	            0xFF7E3DB5	    # Purple Bed
blue_wool	            0xFF2E388D	    # Blue Wool
blue_bed	            0xFF2E388D	    # Blue Bed
brown_wool	            0xFF4F321F	    # Brown Wool
brown_bed	            0xFF4F321F	    # Brown Bed
green_wool	            0xFF35461B	    # Green Wool
green_bed	            0xFF35461B	    # Green Bed
red_wool	            0xFF963430	    # Red Wool
red_bed 	            0xFF963430	    # Red Bed
black_wool	            0xFF191616	    # Black Wool
black_bed	            0xFF191616	    # Black Bed

dandelion	            0x1E6CA200	    # Dandelion
rose	                0x1D8A2B0D	    # Rose
rose_bush               0x1D8A2B0D	    # Rose bush
red_tulip	            0x1D8A2B0D	    # Red Tulip
poppy                   0x1D8A2B0D	    # Poppy
blue_orchid             0xFF2E388D      # Blue Orchid
allium                  0xFF7E3DB5      # Allium
azure_bluet             0xFF2E388D      # Azure bluet
white_tulip             0xFFDDDDDD      # White tulip
lily_of_the_valley      0xFFEEEEEE      # Lily of the valley
pink_tulip              0xFFD08499      # Pink tulip
oxeye_daisy             0xFFDDDDDD      # Oxeye daisy

brown_mushroom	        0xFF4F321F      # Brown Mushroom
brown_mushroom_block	0xFF4F321F      # Brown Mushroom Block
red_mushroom	        0x21C33538	    # Red Mushroom
red_mushroom_block	    0x21C33538	    # Red Mushroom

gold_block	            0xFFF9EC4E	    # Block of Gold
iron_block          	0xFFDBDBDB	    # Block of Iron

stone_slab	            0xFF9F9F9F	    # Stone Slab
smooth_stone_slab	    0xFF9F9F9F	    # Smooth Sandstone Slab
sandstone_slab	        0xFFDAD29E	    # Sandstone Slab
smooth_sandstone_slab	0xFFCAC28E	    # Smooth Sandstone Slab
wood_slab	            0xFF9C7F4E	    # Wooden Slab
cobblestone_slab	    0xFF7A7A7A	    # Cobblestone Slab
brick_slab	            0xFF926356	    # Brick Slab
nether_brick_slab	    0xFF2C161A	    # Nether Slab
quartz_slab	            0xFFECE9E2	    # Quartz Slab

bricks	                0xFF926356      # Bricks
tnt	                    0xFF82412F      # TNT
bookshelf	            0xFF6B5839	    # Bookshelf
mossy_cobblestone	    0xFF677967	    # Moss Stone
obsidian	            0xFF14121D	    # Obsidian
torch	                0x13826A3A	    # Torch
wall_torch	            0x13826A3A	    # Torch
fire	                0x8BD38C35	    # Fire TODO: Obsolete?
spawner	                0x9B1A2731	    # Monster Spawner
oak_stairs	            0xFF9C7F4E	    # Oak Wood Stairs
chest	                0xFE6F5739	    # Chest
redstone_wire	        0x80FA1010	    # Redstone Wire
diamond_ore	            0xFF818C8F	    # Diamond Ore
diamond_block	        0xFF61DBD5	    # Block of Diamond
crafting_table	        0xFF6B472A	    # Crafting Table
wheat	                0x0500B312	    # Wheat
farmland	            0xFF734B2D	    # Dry Farmland

furnace	                0xFF606060      # Furnace
sign	                0x566F5739	    # Sign Post


ladder	                0x8F795F34	    # Ladders
rail	                0x8F796C58	    # Rails
cobblestone_stairs	    0xFF7A7A7A	    # Cobblestone Stairs
wall_sign	            0x206F5739	    # Wall Sign

lever	                0x136A5940	    # Lever
stone_pressure_plate	0xFF7D7D7D	    # Stone Pressure Plate
iron_door           	0xCFBABABA	    # Iron Door


redstone_ore	        0xFF846B6B	    # Redstone Ore
redstone_torch	        0x135D3E26	    # Redstone Torch (inactive)
redstone_wall_torch     0x135D3E26	    # Redstone Torch (inactive)

snow	                0xFFEFFBFB	    # Snow
ice	                    0x9F7DADFF	    # Ice
snow_block	            0xFFEFFBFB	    # Snow Block

cactus	                0xC30D6318	    # Cactus
clay_block	            0xFF9EA4B0	    # Clay Block
sugar_cane	            0x8C94C065	    # Sugar Cane

jukebox	                0xFF6B4937	    # Jukebox
pumpkin	                0xFFC07615	    # Pumpkin
netherrack	            0xFF6F3634	    # Netherrack
soul_sand	            0xFF544033	    # Soul Sand
glowstone_block	        0xFF8F7645	    # Glowstone Block
jack_o_lantern	        0xFFC07615	    # Jack 'o' Lantern
cake	                0xC3E4CDCE	    # Cake Block

# TODO: Infested rocks
repeater	0xFF979393	# Redstone Repeater (inactive)

stone_bricks	        0xFF7A7A7A	    # Stone Brick
infested_stone_bricks	 0xFF7A7A7A	    # Stone Brick
stone_brick_stairs	    0xFF7A7A7A	    # Stone Brick Stairs
mossy_stone_bricks	    0xFF72776A	    # Mossy Stone Brick
infested_mossy_stone_bricks	    0xFF72776A	# Mossy Stone Brick
cracked_stone_bricks	0xFF767676	    # Cracked Stone Brick
infestedcracked_stone_bricks	0xFF767676	# Infested Cracked Stone Brick
chiseled_stone_bricks	0xFF767676	    # Chiseled Stone Brick
infestedchiseled_stone_bricks	0xFF767676	# InfestedChiseled Stone Brick

iron_bars	            0x736D6C6A	    # Iron Bars
glass_pane	            0x1FD3EFF4	    # Glass Pane
melon	                0xFF979924	    # Melon
vine	                0x8A6F6F6F	    # Vines
brick_stairs	        0xFF926356	    # Brick Stairs
stone_brick_stair	    0xFF7A7A7A	    # Stone Brick Stairs
stone_brick_slab	    0xFF7A7A7A	    # Stone Brick Slab
mycelium	            0xFF6F6369	    # Mycelium
lily_pad	            0x93335A21	    # Lily Pad
nether_bricks	        0xFF2C161A	    # Nether Brick
nether_brick_slab	    0xFF2C161A	    # Nether Brick Slab
nether_brick_fence	    0xFF2C161A	    # Nether Brick Fence
nether_brick_stairs 	0xFF2C161A	    # Nether Brick Stairs
nether_wart	            0x2A6A0E1E	    # Nether Wart
enchanting_table	    0xFF67403B	    # Enchantment Table
brewing_stand	        0x767C6751	    # Brewing Stand
cauldron	            0xFF373737	    # Cauldron
end_portal	            0xFF101010	    # End Portal
end_portal_frame	    0xFF597560	    # End Portal Frame
end_stone	            0xFFDDDFA5	    # End Stone
dragon_egg	            0xFF0C090F	    # Dragon Egg
redstone_lamp	        0xFF462B1A	    # Redstone Lamp (inactive)
cocoa	                0x2E8A8C40	    # Cocoa

emerals_ore	            0xFF6D8074	    # Emerald Ore
tripwire_hook	        0x2D8A8171	    # Tripwire Hook
tripwire	            0x08818181	    # Tripwire
emerald_block	        0xFF51D975	    # Block of Emerald
command_block	        0xFFB2896F	    # Command Block
beacon	                0xFF74DDD7	    # Beacon
cobblestone_wall	    0xFF7A7A7A	    # Cobblestone Wall
flower_pot	            0x31764133	    # Flower Pot

carrots	                0x1701BB0F	    # Carrots
potatoes	            0x1701BB0F	    # Potatoes

anvil	                0x9F403C3C	    # Anvil
trapped_chest	        0xFE6F5739	    # Trapped Chest
light_weighted_pressure_plate	0xFFF9EC4E	# Weighted Pressure Plate (Light)
heavy_weighted_pressure_plate	0xFFDBDBDB	# Weighted Pressure Plate (Heavy)
comparator	            0xFF9C9695      # Redstone Comparator (inactive)
dailight_sensor	        0xFF82745E	    # Daylight Sensor
redstone_block	        0xFFAB1B09	    # Block of Redstone
nether_quartz_block	    0xFF7D544F	    # Nether Quartz Ore
hopper	                0xFF3E3E3E	    # Hopper
quartz_block	        0xFFECE9E2	    # Block of Quartz
chiseled_quartz_block	0xFFECE9E2      # Chiseled Quartz Block
quartz_pillar           0xFFE7E3DB	    # Pillar Quartz Block
quartz_stairs	        0xFFECE9E2	    # Quartz Stairs
activator_rail	        0x9B685347	    # Activator Rail
dropper	                0xFF565656	    # Dropper

acacia_leaves	        0xFF005600	1   # acacia leaves
prismarine	            0xFF754974	    # Prismarine

# Concrete
red_concrete            0xFF770000
gray_concrete           0xFF777777
green_concrete          0xFF007700
yellow_concrete         0xFF777700
blue_concrete           0xFF000077
